student_id,name,attendance,study_hours,assignments_completed,assignments_total,internal_marks,previous_percentage,participation,at_risk
1050,Student_50,53.8,2.6,10,10,35.6,70.3,100.0,0
1051,Student_51,78.9,3.6,6,10,26.3,80.4,33.3,1
1052,Student_52,70.4,3.3,8,10,25.6,55.0,27.4,1
1053,Student_53,66.9,5.3,8,10,20.9,58.1,100.0,0
1054,Student_54,82.3,3.9,8,10,21.2,63.4,72.8,0
1055,Student_55,87.4,4.0,6,10,25.4,47.8,47.6,1
1056,Student_56,86.2,2.9,6,10,29.6,55.7,75.7,0
1057,Student_57,64.9,2.8,7,10,33.4,60.9,12.3,0
1058,Student_58,71.3,2.9,10,10,21.4,81.1,65.1,0
1059,Student_59,79.0,4.1,9,10,37.4,71.9,71.6,0
1060,Student_60,86.7,2.9,7,10,25.1,70.9,83.5,0
1061,Student_61,69.2,3.9,9,10,26.9,80.8,44.7,0
1062,Student_62,72.8,6.6,2,10,21.8,65.9,66.7,1
1063,Student_63,61.7,4.8,10,10,10.0,73.9,46.5,1
1064,Student_64,60.6,3.0,4,10,33.2,66.5,70.1,1
1065,Student_65,84.8,5.3,7,10,32.2,72.0,47.1,0
1066,Student_66,91.3,2.9,5,10,25.0,59.3,56.8,1
1067,Student_67,74.1,0.5,5,10,27.5,31.4,45.1,1
1068,Student_68,87.0,2.0,10,10,30.6,66.0,78.0,1
1069,Student_69,79.3,0.7,7,10,16.1,89.3,82.2,1
1070,Student_70,67.3,3.0,8,10,23.3,81.9,60.3,1
1071,Student_71,79.3,3.5,7,10,32.6,82.5,65.8,0
1072,Student_72,93.5,6.0,8,10,18.2,86.5,36.0,1
1073,Student_73,74.6,4.0,8,10,29.1,69.3,59.0,0
1074,Student_74,93.8,3.2,5,10,17.5,71.0,64.0,0
1075,Student_75,43.6,4.7,9,10,30.3,58.7,100.0,1
1076,Student_76,84.9,0.5,7,10,26.8,63.3,42.8,1
1077,Student_77,76.0,3.9,4,10,15.7,77.2,94.3,1
1078,Student_78,71.4,4.7,7,10,35.2,86.1,84.9,0
1079,Student_79,76.1,1.3,10,10,21.9,65.9,70.6,0
1080,Student_80,51.1,5.2,9,10,21.3,61.2,100.0,1
1081,Student_81,72.4,4.0,7,10,28.4,68.0,72.4,1
1082,Student_82,79.3,2.9,7,10,35.0,77.0,72.8,0
1083,Student_83,92.7,4.4,7,10,19.9,46.3,63.9,0
1084,Student_84,68.8,6.9,10,10,27.4,33.6,89.5,1
1085,Student_85,65.3,3.8,8,10,30.0,59.7,86.9,0
1086,Student_86,69.0,3.9,8,10,31.9,49.7,52.5,0
1087,Student_87,86.0,2.8,10,10,28.2,60.4,38.6,0
1088,Student_88,78.9,2.2,8,10,24.4,65.8,60.9,1
1089,Student_89,68.6,4.7,7,10,21.2,61.2,49.0,0
1090,Student_90,81.2,2.2,7,10,27.6,89.8,63.7,0
1091,Student_91,76.2,3.6,7,10,19.5,72.9,89.7,0
1092,Student_92,86.6,2.8,7,10,6.6,72.5,55.9,0
1093,Student_93,66.6,4.2,9,10,30.1,77.3,64.1,0
1094,Student_94,71.1,4.0,8,10,33.3,50.9,66.2,1
1095,Student_95,70.3,5.1,9,10,10.5,83.6,82.0,0
1096,Student_96,57.4,2.7,7,10,19.9,66.9,20.1,1
1097,Student_97,78.6,3.1,8,10,31.3,78.1,52.9,1
1098,Student_98,78.1,2.0,4,10,40.0,51.9,69.2,1
1099,Student_99,75.1,2.8,9,10,27.1,44.7,89.0,0
1100,Student_100,72.2,4.1,8,10,21.9,80.3,55.2,0
1101,Student_101,58.0,4.6,9,10,25.7,73.6,27.5,0
1102,Student_102,70.0,2.1,2,10,36.6,54.5,77.4,1
1103,Student_103,70.9,4.8,10,10,22.5,55.0,52.3,1
1104,Student_104,65.4,5.5,7,10,21.4,84.9,41.2,1
1105,Student_105,73.1,4.1,10,10,23.6,50.2,52.5,1
1106,Student_106,79.8,6.3,5,10,20.3,92.6,61.3,0
1107,Student_107,97.6,2.3,9,10,27.9,54.5,52.9,0
1108,Student_108,77.1,1.6,5,10,38.4,77.6,20.9,1
1109,Student_109,78.1,0.8,6,10,29.3,63.1,82.9,1
1110,Student_110,74.1,5.7,10,10,25.2,77.0,90.5,0
1111,Student_111,52.0,4.5,7,10,25.0,59.8,78.0,1
1112,Student_112,74.7,3.4,8,10,16.1,65.6,42.2,0
1113,Student_113,75.7,3.9,9,10,33.2,68.6,61.0,0
1114,Student_114,100.0,1.8,8,10,26.5,53.0,64.9,0
1115,Student_115,72.7,7.2,8,10,25.7,79.1,77.0,0
1116,Student_116,78.6,3.7,8,10,40.0,60.3,78.4,1
1117,Student_117,74.6,3.7,10,10,29.1,64.6,50.3,1
1118,Student_118,61.0,4.6,7,10,21.7,53.1,66.6,0
1119,Student_119,88.7,4.2,8,10,24.0,30.0,74.1,1
1120,Student_120,84.0,3.8,10,10,35.0,65.1,94.1,0
1121,Student_121,84.5,2.3,10,10,27.8,100.0,79.1,0
1122,Student_122,64.1,4.2,10,10,16.9,79.8,80.8,0
1123,Student_123,91.8,6.3,9,10,33.4,67.7,66.7,0
1124,Student_124,58.2,5.5,5,10,22.3,64.1,93.2,0
1125,Student_125,82.0,5.9,10,10,40.0,68.3,73.2,0
1126,Student_126,100.0,2.7,5,10,34.6,76.2,47.8,0
1127,Student_127,63.1,2.0,8,10,23.9,50.3,93.1,0
1128,Student_128,68.2,3.3,6,10,36.0,84.7,79.0,1
1129,Student_129,76.2,3.6,7,10,27.5,78.7,56.1,1
1130,Student_130,69.0,5.1,8,10,33.0,78.8,55.4,0
1131,Student_131,56.4,1.0,8,10,30.4,74.6,70.9,1
1132,Student_132,75.8,5.8,8,10,21.1,68.3,74.3,1
1133,Student_133,62.3,3.3,10,10,22.5,78.1,68.9,0
1134,Student_134,80.7,2.9,8,10,34.2,76.9,71.2,0
1135,Student_135,64.0,2.0,7,10,24.7,62.7,99.0,1
1136,Student_136,93.6,1.0,9,10,24.2,59.4,86.4,0
1137,Student_137,65.6,4.7,10,10,20.3,69.5,68.8,1
1138,Student_138,71.1,3.6,5,10,30.0,91.2,83.8,0
1139,Student_139,84.8,1.6,9,10,40.0,49.4,44.3,0
1140,Student_140,60.2,1.6,9,10,19.5,46.0,73.0,1
1141,Student_141,77.7,3.0,7,10,27.2,70.5,100.0,1
1142,Student_142,90.7,6.0,10,10,36.9,68.8,60.6,0
1143,Student_143,55.7,3.1,7,10,26.4,70.6,48.0,0
1144,Student_144,77.2,1.2,8,10,30.2,71.7,52.0,0
1145,Student_145,78.1,3.1,7,10,19.6,64.7,43.2,0
1146,Student_146,84.4,3.1,8,10,30.0,90.3,49.3,0
1147,Student_147,60.2,0.5,5,10,25.7,44.0,57.6,1
1148,Student_148,59.2,3.4,5,10,33.9,55.6,36.9,0
1149,Student_149,81.3,3.2,10,10,35.3,66.5,65.3,0
1150,Student_150,78.6,4.5,6,10,40.0,43.4,83.0,0
1151,Student_151,78.0,6.3,6,10,31.1,65.4,46.8,1
1152,Student_152,79.2,5.2,3,10,29.3,92.9,95.4,0
1153,Student_153,66.8,3.1,6,10,28.4,68.3,75.2,0
1154,Student_154,77.8,1.8,5,10,24.5,71.5,85.6,0
1155,Student_155,78.5,7.4,10,10,29.4,49.1,51.8,0
1156,Student_156,66.4,3.6,10,10,24.9,58.8,82.1,0
1157,Student_157,97.4,3.5,6,10,28.2,62.4,43.2,0
1158,Student_158,80.7,3.5,10,10,36.2,63.2,82.8,0
1159,Student_159,60.7,3.8,9,10,20.0,87.2,68.4,1
1160,Student_160,82.9,3.3,7,10,35.0,76.4,76.1,0
1161,Student_161,63.3,2.6,3,10,36.2,51.3,41.5,0
1162,Student_162,84.4,2.7,10,10,26.2,71.7,47.1,1
1163,Student_163,88.9,3.5,5,10,12.1,75.5,76.9,0
1164,Student_164,65.2,2.7,4,10,22.7,85.1,46.0,1
1165,Student_165,86.6,2.4,10,10,36.1,91.7,74.3,0
1166,Student_166,80.0,3.7,10,10,26.8,52.8,37.7,0
1167,Student_167,84.9,3.1,10,10,20.0,55.8,82.0,0
1168,Student_168,97.8,5.8,9,10,23.5,49.1,40.3,0
1169,Student_169,72.1,0.5,9,10,32.9,64.5,76.0,0
1170,Student_170,66.0,5.1,9,10,30.8,75.0,77.5,0
1171,Student_171,64.3,5.4,9,10,25.3,82.8,51.1,0
1172,Student_172,65.2,0.5,8,10,24.4,66.9,76.6,1
1173,Student_173,74.1,3.0,8,10,24.3,63.2,70.2,0
1174,Student_174,79.1,2.9,7,10,20.5,70.3,54.2,1
1175,Student_175,78.3,1.4,6,10,38.3,55.5,44.8,0
1176,Student_176,84.9,2.3,7,10,24.7,99.3,25.7,1
1177,Student_177,75.2,1.8,4,10,35.5,43.9,72.0,0
1178,Student_178,92.4,6.1,7,10,37.6,70.8,33.7,0
1179,Student_179,71.8,4.9,6,10,34.0,98.4,66.9,1
1180,Student_180,100.0,5.4,5,10,24.0,68.1,59.7,0
1181,Student_181,82.5,4.6,8,10,29.8,65.1,78.6,0
1182,Student_182,64.7,1.8,10,10,26.8,62.6,59.0,0
1183,Student_183,62.1,2.7,9,10,20.7,65.3,58.4,1
1184,Student_184,80.8,4.2,4,10,29.3,88.6,79.6,0
1185,Student_185,72.3,1.7,6,10,18.7,34.8,71.7,0
1186,Student_186,83.6,4.6,9,10,35.3,91.0,71.3,0
1187,Student_187,80.7,3.1,6,10,23.7,46.6,74.4,1
1188,Student_188,74.1,2.9,7,10,28.4,64.0,34.3,1
1189,Student_189,64.8,4.6,9,10,29.0,61.6,80.1,0
1190,Student_190,56.8,4.2,6,10,25.2,76.8,77.2,1
1191,Student_191,69.6,3.0,8,10,31.1,44.0,44.7,1
1192,Student_192,85.3,5.2,5,10,23.7,74.9,60.1,0
1193,Student_193,77.6,1.9,6,10,33.1,98.4,64.2,1
1194,Student_194,60.1,4.4,8,10,17.6,47.6,62.3,1
1195,Student_195,77.1,4.4,4,10,27.9,70.8,71.7,0
1196,Student_196,79.6,3.0,8,10,40.0,58.1,93.6,0
1197,Student_197,64.4,4.0,7,10,20.0,74.4,86.6,0
1198,Student_198,76.8,1.6,9,10,22.3,68.3,38.8,0
1199,Student_199,75.7,4.9,8,10,30.6,58.4,77.4,0
1200,Student_200,61.3,3.2,10,10,28.3,75.3,91.6,0
1201,Student_201,79.3,2.7,8,10,29.5,95.1,72.7,0
1202,Student_202,81.7,5.1,7,10,30.4,65.1,86.8,0
1203,Student_203,88.0,2.4,8,10,31.4,78.8,100.0,0
1204,Student_204,87.6,1.4,9,10,34.8,48.6,85.5,0
1205,Student_205,58.5,1.2,8,10,29.9,53.7,70.0,0
1206,Student_206,63.7,4.4,8,10,25.3,75.1,85.9,0
1207,Student_207,81.2,1.6,6,10,31.7,90.3,67.9,0
1208,Student_208,81.2,6.1,6,10,40.0,73.3,65.5,1
1209,Student_209,81.2,0.5,5,10,26.1,63.3,58.0,1
1210,Student_210,100.0,6.0,10,10,20.2,68.0,96.3,0
1211,Student_211,81.9,3.8,5,10,34.7,49.2,48.6,1
1212,Student_212,88.6,3.4,6,10,26.2,77.1,95.6,0
1213,Student_213,86.4,2.7,6,10,11.8,81.2,75.0,1
1214,Student_214,82.8,4.1,9,10,32.9,61.2,37.0,1
1215,Student_215,71.2,3.4,7,10,23.3,60.9,72.4,1
1216,Student_216,84.1,5.2,10,10,26.4,72.0,23.0,0
1217,Student_217,65.7,3.7,6,10,29.3,61.4,77.5,0
1218,Student_218,72.2,3.7,8,10,28.3,67.0,82.7,0
1219,Student_219,69.2,3.0,6,10,32.0,99.5,53.2,0
1220,Student_220,76.0,3.4,10,10,24.0,64.3,67.5,1
1221,Student_221,100.0,4.0,5,10,30.6,62.6,100.0,0
1222,Student_222,52.6,0.9,8,10,25.2,58.3,54.9,1
1223,Student_223,83.2,1.5,9,10,32.2,79.2,43.8,1
1224,Student_224,55.6,4.6,8,10,31.3,65.3,94.6,0
1225,Student_225,69.3,3.8,7,10,20.5,58.3,100.0,1
1226,Student_226,88.1,3.2,7,10,34.6,87.8,65.1,0
1227,Student_227,75.8,3.5,8,10,23.2,89.3,85.2,0
1228,Student_228,62.1,4.0,7,10,32.7,59.0,91.8,0
1229,Student_229,66.4,2.7,9,10,29.6,40.0,50.2,0
1230,Student_230,83.2,2.3,10,10,39.9,83.1,55.3,0
1231,Student_231,66.2,3.8,6,10,25.4,57.7,89.6,1
1232,Student_232,77.6,2.0,5,10,24.6,79.9,98.7,0
1233,Student_233,75.5,4.1,7,10,26.9,38.4,76.3,0
1234,Student_234,67.2,0.9,10,10,24.9,81.4,47.4,1
1235,Student_235,100.0,5.0,6,10,32.6,49.8,100.0,0
1236,Student_236,82.6,4.2,10,10,15.7,79.0,54.4,0
1237,Student_237,50.7,3.9,10,10,19.6,68.2,58.3,1
1238,Student_238,77.2,5.0,6,10,19.5,53.7,71.8,1
1239,Student_239,67.1,6.0,9,10,33.7,61.9,96.1,0
1240,Student_240,85.2,5.0,10,10,39.0,78.3,82.1,0
1241,Student_241,65.5,0.7,7,10,26.3,69.6,73.3,1
1242,Student_242,73.6,1.6,7,10,25.8,76.8,74.3,1
1243,Student_243,81.1,2.6,6,10,27.5,97.6,65.9,0
1244,Student_244,85.4,3.5,5,10,35.1,44.5,76.2,0
1245,Student_245,60.6,4.3,6,10,20.5,92.3,14.4,1
1246,Student_246,71.0,2.4,5,10,28.7,69.6,59.1,1
1247,Student_247,69.3,3.8,8,10,33.8,54.5,69.8,0
1248,Student_248,67.2,2.4,6,10,30.5,48.0,42.0,1
1249,Student_249,96.2,2.6,8,10,28.3,65.2,72.7,0
1250,Student_250,79.9,1.4,4,10,34.0,81.8,60.9,0
1251,Student_251,59.9,2.1,8,10,8.1,66.1,100.0,1
1252,Student_252,86.0,1.5,9,10,31.7,90.7,96.5,1
1253,Student_253,100.0,2.0,4,10,22.4,46.2,55.7,1
1254,Student_254,87.4,5.1,8,10,14.2,67.8,62.0,0
1255,Student_255,56.8,2.1,10,10,30.6,49.2,63.5,1
1256,Student_256,69.2,7.4,5,10,36.6,73.5,56.0,0
1257,Student_257,90.2,4.2,10,10,26.0,81.3,68.9,0
1258,Student_258,66.5,3.8,8,10,33.7,61.7,49.8,0
1259,Student_259,80.3,2.2,6,10,38.3,30.0,42.4,1
1260,Student_260,84.3,4.6,7,10,36.2,71.0,77.5,0
1261,Student_261,63.9,2.6,9,10,38.5,74.6,77.6,0
1262,Student_262,74.3,3.7,8,10,32.2,74.1,48.9,0
1263,Student_263,40.0,7.3,9,10,27.5,86.5,82.9,0
1264,Student_264,62.7,3.4,6,10,15.8,51.9,52.4,0
1265,Student_265,72.0,5.2,8,10,25.3,78.2,70.1,1
1266,Student_266,60.0,2.4,5,10,21.1,85.9,81.4,1
1267,Student_267,94.6,3.4,7,10,40.0,41.3,64.3,0
1268,Student_268,57.8,6.2,6,10,25.8,72.8,74.1,0
1269,Student_269,69.7,2.6,6,10,27.9,60.4,54.7,1
1270,Student_270,76.6,6.2,10,10,30.9,66.8,61.1,0
1271,Student_271,92.3,4.6,10,10,27.3,73.2,60.9,0
1272,Student_272,57.8,2.7,9,10,38.9,60.7,50.1,1
1273,Student_273,89.0,4.4,5,10,22.6,57.9,61.5,0
1274,Student_274,75.1,5.0,7,10,28.4,68.5,34.0,0
1275,Student_275,63.2,4.4,10,10,21.8,51.7,55.2,0
1276,Student_276,80.5,1.1,8,10,17.8,51.7,59.3,1
1277,Student_277,77.4,2.4,10,10,22.7,78.2,59.9,1
1278,Student_278,67.8,3.1,8,10,26.7,50.8,60.2,0
1279,Student_279,75.8,3.4,8,10,24.0,78.0,63.8,0
1280,Student_280,70.4,4.4,7,10,22.2,74.9,74.6,1
1281,Student_281,76.4,3.8,8,10,17.2,42.1,82.5,0
1282,Student_282,82.9,1.5,7,10,26.4,57.8,52.0,0
1283,Student_283,94.0,4.1,9,10,16.5,85.9,40.9,0
1284,Student_284,60.1,4.4,9,10,32.3,53.3,44.2,0
1285,Student_285,100.0,4.3,6,10,27.6,61.0,55.3,0
1286,Student_286,51.6,5.1,5,10,16.8,74.9,58.0,1
1287,Student_287,73.2,4.8,4,10,24.8,79.8,49.6,1
1288,Student_288,82.1,4.2,9,10,21.7,64.2,39.1,0
1289,Student_289,78.4,3.4,5,10,29.2,59.0,55.9,1
1290,Student_290,67.5,1.0,3,10,36.4,89.3,68.6,1
1291,Student_291,72.5,4.1,8,10,13.9,94.1,76.9,0
1292,Student_292,69.1,3.8,10,10,27.8,82.7,53.9,0
1293,Student_293,67.9,3.9,7,10,25.9,69.3,56.7,1
1294,Student_294,85.2,1.6,9,10,31.7,55.9,46.5,1
1295,Student_295,79.3,1.9,8,10,28.5,55.5,64.4,1
1296,Student_296,66.7,5.1,7,10,21.7,75.8,48.0,1
1297,Student_297,85.8,3.4,9,10,24.8,74.3,76.5,0
1298,Student_298,78.7,4.5,7,10,21.4,89.0,29.3,0
1299,Student_299,84.8,3.5,8,10,34.5,77.8,57.8,0
1300,Student_300,82.6,3.5,8,10,27.1,45.5,71.0,1
1301,Student_301,65.1,4.9,6,10,40.0,83.8,68.7,0
1302,Student_302,68.3,2.7,9,10,26.6,53.0,100.0,0
1303,Student_303,84.0,3.6,7,10,22.0,62.2,72.0,1
1304,Student_304,82.3,2.8,6,10,16.4,71.8,44.9,0
1305,Student_305,74.7,2.8,9,10,14.4,97.9,63.1,0
1306,Student_306,76.4,3.0,6,10,15.9,100.0,29.5,1
1307,Student_307,90.3,3.8,8,10,28.9,77.1,63.4,1
1308,Student_308,67.9,2.8,7,10,30.6,65.3,48.3,0
1309,Student_309,81.6,5.4,10,10,15.9,76.0,83.3,1
1310,Student_310,72.6,2.2,8,10,33.3,81.3,54.0,1
1311,Student_311,72.4,3.2,7,10,23.6,63.2,62.7,1
1312,Student_312,88.2,2.8,9,10,28.0,94.9,52.3,1
1313,Student_313,84.9,5.7,10,10,38.3,71.5,99.8,0
1314,Student_314,84.8,3.8,9,10,33.3,75.5,58.6,0
1315,Student_315,90.7,5.0,8,10,25.1,78.0,100.0,0
1316,Student_316,75.3,1.3,5,10,20.8,74.3,81.3,1
1317,Student_317,83.2,3.9,5,10,11.9,80.6,74.6,0
1318,Student_318,71.3,4.8,7,10,22.0,58.7,72.4,0
1319,Student_319,78.9,3.6,6,10,25.5,59.6,72.9,0
1320,Student_320,73.4,5.1,7,10,20.1,51.5,26.4,1
1321,Student_321,76.2,2.7,8,10,26.1,74.6,59.4,1
1322,Student_322,82.1,5.6,9,10,27.5,79.7,81.9,0
1323,Student_323,65.2,6.9,7,10,25.4,74.9,64.0,0
1324,Student_324,100.0,3.0,8,10,22.4,93.1,36.9,0
1325,Student_325,62.9,2.8,8,10,28.2,67.9,64.0,1
1326,Student_326,60.4,5.7,4,10,30.1,78.0,99.1,0
1327,Student_327,88.9,5.9,6,10,19.4,51.6,89.9,0
1328,Student_328,84.5,2.7,7,10,36.9,62.2,63.8,0
1329,Student_329,82.5,2.9,5,10,26.3,78.4,84.0,0
1330,Student_330,82.5,3.1,9,10,27.1,80.7,57.7,0
1331,Student_331,74.9,1.5,10,10,32.0,63.6,30.9,0
1332,Student_332,64.2,2.1,10,10,28.6,66.9,46.5,1
1333,Student_333,75.9,2.0,7,10,33.7,45.2,96.3,1
1334,Student_334,66.9,2.3,10,10,29.0,62.6,59.5,1
1335,Student_335,86.7,3.4,8,10,22.7,81.4,60.1,1
1336,Student_336,73.2,3.9,7,10,29.5,76.6,59.0,0
1337,Student_337,65.1,5.8,6,10,19.0,75.5,100.0,0
1338,Student_338,71.1,2.0,7,10,27.8,68.7,97.5,0
1339,Student_339,80.0,5.0,7,10,26.8,68.1,100.0,0
1340,Student_340,68.2,3.2,8,10,25.5,58.1,61.8,1
1341,Student_341,65.1,3.4,8,10,26.1,78.5,70.9,1
1342,Student_342,77.9,4.5,8,10,13.8,74.3,34.7,1
1343,Student_343,77.9,1.8,8,10,23.2,75.4,94.5,0
1344,Student_344,68.9,4.1,10,10,27.6,60.1,41.6,1
1345,Student_345,69.3,3.7,9,10,28.1,35.7,69.3,1
1346,Student_346,77.8,4.2,5,10,19.8,84.5,43.1,1
1347,Student_347,57.6,3.9,2,10,35.9,60.8,53.2,1
1348,Student_348,58.1,7.2,9,10,20.9,55.1,48.3,1
1349,Student_349,66.4,2.5,5,10,33.8,78.4,52.8,1
1350,Student_350,72.4,2.7,7,10,30.0,62.1,54.2,1
1351,Student_351,78.7,2.6,5,10,22.5,83.9,54.0,0
1352,Student_352,92.7,2.7,4,10,39.4,77.3,81.7,0
1353,Student_353,85.3,2.5,9,10,18.6,78.3,42.9,0
1354,Student_354,73.1,5.3,9,10,33.4,47.5,69.4,0
1355,Student_355,74.8,5.6,6,10,34.0,86.2,89.4,0
1356,Student_356,63.0,2.6,2,10,22.3,71.9,54.7,0
1357,Student_357,74.8,2.3,6,10,36.7,62.5,50.6,1
1358,Student_358,71.5,4.2,8,10,25.2,70.2,60.4,0
1359,Student_359,78.9,2.7,5,10,29.0,41.4,88.6,1
1360,Student_360,65.1,4.4,8,10,28.8,74.1,68.9,0
1361,Student_361,81.2,3.8,7,10,26.1,52.6,54.4,0
1362,Student_362,93.4,1.2,9,10,32.7,47.7,74.7,0
1363,Student_363,73.7,5.8,8,10,32.6,45.2,43.0,0
1364,Student_364,79.8,6.2,6,10,14.8,84.7,78.6,0
1365,Student_365,83.3,2.6,10,10,36.1,58.6,73.2,0
1366,Student_366,70.2,2.9,7,10,15.4,91.0,58.8,1
1367,Student_367,77.7,3.9,7,10,34.2,60.0,48.2,0
1368,Student_368,75.2,4.0,6,10,34.9,42.4,47.3,1
1369,Student_369,76.2,4.5,7,10,19.4,51.3,75.7,0
1370,Student_370,65.7,6.5,6,10,24.1,86.5,89.6,0
1371,Student_371,75.3,3.2,7,10,19.3,65.7,52.3,1
1372,Student_372,81.0,2.3,10,10,25.5,59.8,74.2,0
1373,Student_373,92.4,1.4,5,10,24.8,70.4,23.3,1
1374,Student_374,86.5,2.4,4,10,32.5,75.5,53.3,0
1375,Student_375,100.0,3.5,10,10,36.2,84.8,64.4,0
1376,Student_376,65.8,6.2,7,10,36.8,89.7,46.8,0
1377,Student_377,85.5,2.7,6,10,23.1,62.6,46.3,1
1378,Student_378,77.2,3.8,10,10,25.5,48.1,51.6,0
1379,Student_379,100.0,3.5,6,10,15.2,61.8,70.8,0
1380,Student_380,65.3,5.3,10,10,21.4,71.9,61.3,0
1381,Student_381,64.9,7.3,9,10,33.8,53.5,20.2,0
1382,Student_382,67.8,2.7,7,10,38.3,53.6,22.6,1
1383,Student_383,49.5,2.8,10,10,18.4,73.2,52.9,0
1384,Student_384,68.7,5.1,6,10,22.9,67.3,74.2,1
1385,Student_385,65.9,4.5,9,10,26.8,68.5,10.0,1
1386,Student_386,76.8,6.3,8,10,29.0,56.6,55.0,0
1387,Student_387,79.1,4.4,10,10,21.3,64.5,54.5,0
1388,Student_388,97.5,3.0,10,10,30.0,54.1,92.8,0
1389,Student_389,86.4,4.4,8,10,23.7,81.4,57.3,0
1390,Student_390,68.1,5.2,6,10,26.9,83.5,72.7,1
1391,Student_391,64.2,4.7,8,10,30.8,40.3,67.8,0
1392,Student_392,80.9,4.3,6,10,27.0,54.1,22.4,1
1393,Student_393,59.2,5.1,10,10,23.9,45.6,80.4,1
1394,Student_394,97.0,5.3,8,10,26.2,58.2,69.3,0
1395,Student_395,89.2,5.6,7,10,26.4,66.7,75.2,0
1396,Student_396,69.4,4.5,8,10,24.4,46.3,100.0,0
1397,Student_397,54.4,3.2,5,10,25.2,54.2,23.3,1
1398,Student_398,91.2,3.7,6,10,38.2,52.9,99.5,1
1399,Student_399,73.6,5.3,10,10,30.9,71.1,59.3,1
1400,Student_400,89.9,2.3,6,10,24.9,69.0,70.7,1
1401,Student_401,55.9,4.1,5,10,31.9,57.2,64.1,1
1402,Student_402,67.8,2.9,9,10,24.7,70.7,56.5,1
1403,Student_403,75.1,3.5,10,10,35.2,59.8,53.6,1
1404,Student_404,75.6,5.4,9,10,29.6,63.9,71.6,0
1405,Student_405,69.6,3.8,9,10,26.2,93.1,34.7,0
1406,Student_406,82.5,3.6,6,10,30.1,88.1,80.0,0
1407,Student_407,62.2,1.5,5,10,16.0,48.5,56.7,1
1408,Student_408,73.3,4.6,10,10,19.1,80.4,42.4,1
